Tanggal Publikasi,Nama Produk,Kategori,Harga (Rp),Pendapatan Total(Rp),Pendapatan Livestream(Rp)
2025-05-02,【50g】 HEXZE SPF50 PA+++ Lazy Sunscream Cream  Perawatan Mencerahkan Wajah Tanpa  Berminyak,Perawatan & Kecantikan > Skincare > Facial Sunscreen & Sun Care,10055715.56,27090097714.62,0.0
2022-11-01,MAYBELLINE Superstay Matte Ink Liquid Long Lasting Waterproof Matte Lipstick Lipcream Make Up Transferproof Tahan 16 Jam,Perawatan & Kecantikan > Makeup > Lipstick & Lip Gloss,78299.15,10718526863.27,3095804597.05
2024-11-25,[PILIHAN RICIS] METOO PASTA GIGI MW3- BPOM-Gigi Putih / Bebas Sensitif / Bebas Karang Gigi / Pasta Gigi Probiotik / Karang Gigi / Gusi Sensitif / Membersihkan Noda Gigi- METOO MW-3 Advanced Whitening Tooth Paste 100 gr,Perawatan & Kecantikan > Perawatan Hidung & Mulut > Pasta Gigi,20852.16,9862863662.87,1236948892.32
2022-11-01,Biotalk Natural Calendula Salve | Salep untuk Membantu Menjaga Kulit Eksim Psoriasis Sensitif Gatal-Gatal,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Peralatan Perawatan Tubuh,156768.97,8526193718.88,81979419.0
2022-11-01,Philips | Hair Dryer 3000 | Pengering Rambut | Melindungi Rambut dengan ThermoProtect Teknologi | Hitam | BHD308/10,Perawatan & Kecantikan > Peralatan Perawatan > Pengering Rambut,493404.63,7625568547.26,66115648.15
2024-12-13,[Special Promo] Glad2Glow Day&Night 6in1 Renew Set -Brightening toner+Brightening Moisturizer+Cleanser+Brightening Serum+Retinol Serum+Retinol moisturizer Pomegranate Niacinamide Mencerahkan Wajah Mencerahkan Melembabkan Kulit skin skincare G2G,Perawatan & Kecantikan > Skincare > Kit Perawatan Kulit,202142.16,7299151290.64,2705348305.06
2022-11-01,NIVEA Body Care Intensive Lotion 380ml - Twin Pack,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Cream & Lotion Tubuh,120881.07,6813945283.78,1668584.89
2024-11-03,Dental Kit Set Crystal / SIkat Gigi dan Pasta Gigi Hotel ( 100 Pcs ),Perawatan & Kecantikan > Perawatan Hidung & Mulut > Kit Perawatan Mulut,128767.08,6780359239.12,0.0
2023-04-04,Philips | Multigroom 3000 | Alat Cukur Electric | Jenggot Kumis Jambang Rambut | 8-in-1 | MG3730/15,Perawatan & Kecantikan > Peralatan Perawatan > Alat Cukur Listrik,503008.08,6723205948.16,227933253.52
2023-06-20,Philips | OneBlade | Alat Cukur Electric Hybrid Pria | Cukur dan Tata Tanpa Luka Baret | Handle | QP1424/10,Perawatan & Kecantikan > Peralatan Perawatan > Alat Cukur Listrik,288092.75,6494474974.49,1097540221.32
2022-11-01,Philips | Shaver 1000 | Alat Cukur Electric Kumis dan Jenggot Pria | Cukur Cepat Tanpa Luka Baret dengan SkinGuard Teknologi | Hitam | S1103/02,Perawatan & Kecantikan > Peralatan Perawatan > Alat Cukur Listrik,339164.68,6364425170.42,182031688.92
